directed_by|no_in_season|no_in_series|original_air_date|production_code|title|us_viewers_millions|written_by|nth_season|show|corpus_url|source|corpus
Juan J. Campanella|12|78|2003-01-17 00:00:00|E3115|Risk|16300000.0|Jonathan Greene & Robert F. Campbell|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/risk-219153/recap|http://www.tv.com|A woman runs out of her apartment, holding her baby and screaming that he is not breathing. Benson and Stabler are called to the hospital, where they are told that the baby is suffering a cocaine overdose. The mother denies giving her baby the coke, and the doctor is able to tell them that the drug seems to have been mixed in with the baby formula. The mother admits that she borrowed a can of formula from a couple whose apartment she cleans.Benson and Stabler rush to the home of the Pfeiffers, who have a baby boy, and take away all the other cans of the baby formula for testing, as well as seizing those from the market where the Pfeiffers bought them. The lab reveals that one of the cans from the Pfeiffers' apartment contains 90% liquid cocaine, and that the baby formula was drained from the can before it was filled with the drug. None of the other cans, or the ones from the market, are tainted.The FDA issues a recall of all the baby food of that brand, while the detectives are able to determine that the tainted cans came, not from the company's American plant, but from Mexico. A little more digging reveals that Derek Pfeiffer was bankrupt, until recently, when he mysteriously was able to pay off all his debts. They then get a message that the baby suffering from an overdose has died.Munch and Tutuola go to speak to Derek Pfeiffer, who admits he was in Mexico, but to see a business client (he is some sort of Wall Street/investments person). Munch and Tutuola tell him to go with them to the police station, but as they are putting him in a car outside the building, internal affairs officers take him into their car. One of the officers, Tucker, tells them that Cregan signed off on it, and that he told them where to find the detectives.Cregan is furious when he hears what Tucker said, as he by no means gave IA the okay to take Pfeiffer. They storm into internal affairs where Cregan loses his temper. He instructs Stabler to try and find out what interest IA have in the case and tells him to pick up Derek Pfeiffer again, since IA has released him. When Benson and Stabler go to Pfeiffer's office, they find police officers already there, and find Pfeiffer strangled with a cord in the bathrooms on his floor.Munch and Tutuola speak to Keith Gerard, Pfeiffer's immediate boss, who tells them that the security in the building should not have allowed this to happen. Meanwhile, Benson and Stabler talk to Mrs. Pfeiffer who says that she knows nothing about her husband's work, nor how he found the money to pay off their debts. The detectives offer her protection, but she says she will take her son and go to stay with her sister. She admits, nervously, that a man came to the door, asking for the formula, and showed her a police badge.Tucker hears that SVU are still investigating the case and comes to speak to Cregan. He admits that several undercover operations aimed at cracking the baby formula ring have failed, and a dirty cop is suspected. Cregan insists that it remains SVU's case, and that their detectives will handle the undercover work.Stabler is chosen to go undercover as he looks like the 'clean-cut, corporate type.' He goes to a bar where they suspect Derek did his business, and (with Benson inside the bar as backup), he allows the barman to see that he has some cocaine with him. The barman refers him to another man sitting at the end of the bar, whom Stabler follows into the bathroom, where he is roughed up a little, then made an offer. They arrange to meet at a dock to do business.At the dock, another man shows up. Stabler is searched, then shown some cocaine which the two men offer to supply to him to sell at his office building. When he agrees to the deal, one of the men pulls out a gold shield and bundles him into the car and they drive away. Munch, Cregan, Benson and Tutuola, who are in other cars as backup, follow. The car stops, and Stabler is taken out and beaten up, so that the man with the badge can show he is 'top dog'. The man tells Stabler his name is Kendall and that Stabler now has to help them smuggle drugs from Mexico. They then drive away and leave Stabler there.Back at the station, the detectives look at Kendall's record. He is a decorated detective, who seems to have gone off the rails after a bad shooting incident. Stabler meets with Kendall again, in a restaurant, and they discuss money. Kendall reveals that he will have to take Stabler's demands to his boss, and that he will get back to him.Kendall calls Stabler with the mission; to find a reason to go to Mexico for business, and pick up some tiles made with cocaine, his cover story being that he is re-tiling his kitchen. Since Mexico is out of their jurisdiction, someone else is to pick up the tiles and they will then be delivered to Stabler's undercover house in Queens.The tiles are delivered by Munch, pretending to be a delivery man, and Stabler is just about to hand them over to Kendall when Benson comes out of the house, posing as Stabler's wife. As the delivery truck comes back towards the house, Kendall realises it is a sting and runs. Stabler follows him and draws his gun and when Kendall turns his gun on him he is forced to shoot him dead. IAB investigate the shooting and Tucker places Stabler on modified assignment until they sort things out- he is confined to the office and cannot arrest or interrogate anyone. Meanwhile, DNA from the cord which was used to kill Derek Pfeiffer is a match to Kendall, who was probably working on a higher-up dealer's orders.The detectives discover that when Derek Pfeiffer flew to Mexico, his wife and the baby also flew there, but on a different airline. They realise that Mrs. Pfeiffer was the mule, as no one would suspect a mother carrying cans of baby formula.Benson and Cregan (since Stabler cannot leave the office) go to speak again with Pfeiffer's boss, Keith Gerard, about whether Pfeiffer's trips to Mexico were for legitimate business. He says that they were, but reveals that the Pfeiffers did not have children. Cregan speculates that whoever payed the Pfeiffers to smuggle drugs, probably has a ring of mothers with babies doing the same thing.Benson and Cregan then go to Staten Island, to speak to Mrs. Pfeiffer at her sister's house. They can hear the baby crying, and find a window broken, and so they break the door open. They find the baby distressed but unharmed, and find Mrs. Pfeiffer and her sister shot dead in the kitchen. They discover that the baby is Mrs. Pfeiffer's nephew, and that Mrs. Pfeiffer was planning a one-way trip to Brazil to avoid prosecution.The detectives begin tracking down similar cases where parents of babies have been killed execution-style. Stabler becomes very frustrated by this task, and is busy yelling at Munch when Kathy comes in to bring him something to eat.Cregan and Benson are called to a house in Queens were there has just been a murder which fits the pattern they are looking at- new parents shot dead. There appear to be no signs of forced entry. They discover that the father was a landscaper for Keith Gerard, and realise that he is in charge of the smuggling ring and has probably ordered the killings of all the parents in the ring so there are no witnesses against him.Benson and Cregan go to Gerard's office, where his secretary tells them that he is down in the corporate day care centre. They catch him walking out with a mother with a baby, and when Gerard sees them, he pulls a gun on the mother and holds her and her baby as a shield. Cregan and Benson lower their weapons, as if to let Gerard get away. He pushes the mother and her baby away and runs, but is stopped by Tutuola, who had snuck up behind him. They arrest him for murder.Cregan gives Stabler his gun and badge back, and says that he made the trouble with IAB over the shooting go away. Stabler realises that Cregan must have pulled some pretty big strings to make it happen so fast.Benson comes in and tells Stabler that they found ten other mothers involved in the smuggling ring, who Gerard probably would have killed. Stabler is clearly still distressed over the shooting, and Benson asks if he has spoken to a shrink about it yet. He says no, and asks whether it helped her to talk to a shrink after she shot a perp. She says it didn't help much.
Constantine Makris|13|79|2003-01-24 00:00:00|E3119|Rotten|16100000.0|Judith McCreary|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/rotten-224086/recap|http://www.tv.com|
David Platt|14|80|2003-01-31 00:00:00|E3118|Mercy|15500000.0|Christos N. Gage & Ruth Fletcher|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/mercy-225746/recap|http://www.tv.com|"A cooler containing a dead one-month old infant girl is found in the Hudson River near Battery Park.  A plastic bag tied to the cooler handle had contained weights, which broke through the bag and allowed the cooler to float to the surface. Warner determines that the infant died only a day ago of a lethal dose of tricyclic antidepressants, which aren't prescribed to nursing mothers. But in all other respects this child had been well cared for, so she wasn't a throwaway.Algae, sodium hypochlorite, and a partial logo on the bag narrow down the geographic area where the cooler was placed into the river. Hudson University is in that area. For lack of any other profile, SVU initially seeks out college students away from home who'd faced an unplanned pregnancy.  When the university medical center insists on a subpoena before it will identify students who'd had pregnancy tests there, Elliot and Olivia seek one from Alex Cabot. Alex doesn't think they have grounds for it, but reluctantly agrees to ask her boss. To her surprise, SVU Bureau Chief Elizabeth Donnelly insists on getting the subpoena. Donnelly is ends-justify-the-means incensed that this mother didn't make use of the state's hard-won Baby Safe Haven law to give up her child safely, without fear of prosecution.  A judge issues the subpoena, and the detectives -- Munch unwillingly -- visit the named students to ask about their pregnancies.Several invasions of privacy later, Warner determines that the dead infant had Tay-Sachs disease. This was a mercy killing. A medical researcher tells Elliot and Olivia that symptoms the parents would have noticed wouldn't have appeared for about six months. However, the eye discoloration of Tay-Sachs is visible very soon after birth. Any pediatrician would have seen it during a well-baby checkup. Fortunately the disease is rare, so much so that there's only one support group in the area.Elliot and Olivia visit the support group and tell the rabbi they're looking for a local couple with a one-month-old child. The rabbi remembers one woman from Manhattan who had attended recently. She came only once and had been referred by her child's pediatrician, Dr. Judah Platner. The doctor is a member of the rabbi's congregation.Dr. Platner refuses to reveal any information about the woman. A check with the Vital Statistics Bureau reveals that the previous week, Platner had signed a death certificate for a Sarah Brown, who died at one month of age from asphyhxiation pneumonia. Elliot and Olivia visit the bereaved parents, Daniel and Andrea Brown. Olivia asks to use the bathroom, and finds in the trash an empty bottle of the adult antidepressant Imipramine -- prescribed for Andrea Brown the previous week by Dr. Platner.Warner confirms that Imipramine is the tricyclic that killed Sarah Brown. Alex gets a warrant for the discarded prescription bottle, which in turn is sufficient grounds for opening Sarah's grave. The Browns buried an empty casket. Andrea Brown and Dr. Platner are both brought in for questioning.  A DNA test confirms the dead infant was Sarah Brown. Andrea says she acted alone in killing her daughter, and is charged with murder. Platner is charged with supplying the murder weapon, the antidepressant. The doctor staunchly defends his actions. After watching countless other children die terrible deaths, in Sarah's case at least he was able to do something before she suffered. Dr. Platner testifies that he was Andrea's pediatrician from the day she was born, and sort of a surrogate father after her own father died. When he told her and Daniel that Sarah had Tay-Sachs disease, they felt very guilty over never being tested themselves. He also says both of them wanted to end Sarah's suffering, though he acknowledges having spoken directly only to Andrea about it. She was determined to euthanize Sarah with or without Dr. Platner's help. So he helped her in order to make things as painless as possible for both of them.Andrea testifies she had acted alone in ending Sarah's life, saying she didn't want her husband to be the one who did it. Later, Alex sees the Browns and Platner arguing outside the courtroom. Platner's attorney tells Alex his client wants to make a deal. Baffled by Platner's suddenly throwing in the towel, Alex and her boss say they'll sleep on it. Alex tells the detectives that Platner had seemed surprised when Andrea testified she'd acted alone. Munch wonders why the Browns, who must have known the risk of Tay-Sachs, weren't tested for the gene before they married. Answer: There had been no need for testing if Daniel Brown wasn't born Jewish. Confronted with a court order for a DNA sample from him, Daniel acknowledges that he's Jewish by conversion, and that he's not Sarah's biological father. He'd suspected an affair when Sarah was diagnosed, but he didn't know for certain until Andrea told him following her arrest.In her closing argument to the jury, Andrea's attorney portrays her client as a loving mother who'd done what she did solely to spare Sarah a life of horrible agony.  She asks the jurors to ask themselves, ""If this were my child, what would I do?""Alex portrays Andrea as a self-centered woman who sought to conceal her infidelity by eliminating the proof of it. She didn't tell her husband he wasn't her child's father, once she knew.  She didn't tell Sarah's father he had a child. She pressured Dr. Platner to engage in criminal conduct to help her end Sarah's life. Since Sarah had not yet begun showing noticeable signs of Tay-Sachs, the longer she lived, the more likely someone was likely to find out the truth. This was no mercy killing, but a clear-cut case of murder. The jury convicts Andrea Brown of second-degree murder, which carries 25 years to life. Munch, who's against euthanizing children, congratulates Alex on her victory. Alex doesn't feel victorious, saying she won only by portraying Andrea as a whore. She asks Munch the defense's question:  ""If it had been your child, what would you have done?"" Munch answers, ""Whatever I could."""
Alex Zakrzewski|15|81|2003-02-07 00:00:00|E3120|Pandora|15500000.0|Michele Fazekas & Tara Butters|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/pandora-226478/recap|http://www.tv.com|
Steve Shill|16|82|2003-02-14 00:00:00|E3121|Tortured|14500000.0|Lisa Marie Petersen & Dawn DeNoon|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/tortured-226480/recap|http://www.tv.com|
Jean de Segonzac|17|83|2003-02-21 00:00:00|E3122|Privilege|15000000.0|Patrick Harbinson|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/privilege-226482/recap|http://www.tv.com|Detectives Benson and Stabler are called to a crime scene where a young woman in a maid's uniform has jumped to her death from a high-rise apartment building. Suicide was initially determined to be the cause of death, but the sexually related bruising causes them to question whether she had been pushed.The woman is identified as a film student, Carmen Trancoso. Her face had been destroyed by the fall, so the detectives initially identifier her as Anna Rivera, a former maid at the Lamerly's penthouse. The detectives learn Carmen had been dating the Lamerly's son, Drew, but the relationship had gotten too intense. Drew broke it off with her and Carmen began to stalk him. Benson and Stabler visit the attorneys who were representing Carmen, who was trying to sue Drew for rape. However, Drew is prepared with his lawyer Lorna Scarry, who refutes Carmen's claim. As they dig into Drew's past, it is revealed he had been expelled from a private school. The detectives learn Drew's prom date, Jenny White, also claims Drew had raped her. Jenny had been a prostitute at the time and is now married to a rich and powerful man. Because of this, she hesitates to come forward. Then investigators now believe Carmen did not jump – she had been pushed. Drew claims the family's head of security, Tom Paysen, had killed Carmen.The detectives bring Drew in for an evaluation by Dr. Huang and a lie detector test, but he almost does too well on it. Then finally a break, a rare material traced to a jacket in his closet is found on the victim. Drew is placed under arrest. Scarry attempts to get Cabot to cut a deal. When that doesn't work, she claims he is not guilty by virtue of diminished capacity because his father was highly abusive. Drew's grandmother, Candace, tries to make the case on the stand, but Cabot claims in the abuse from his father never came up in Drew's polygraph. The judge rules against Cabot and allows the testimony. Since it was privileged information, Cabot refuses to be defeated.The detectives go to Jenny White Rochester and convince her to testify. They now realize it was Drew's grandmother, who was the ringleader, and not his father.  Candace had groomed Drew to be the violent man that he is. Candace is now in as much trouble as her grandson, whose defense has been rejected by the court.
David Platt|18|84|2003-03-14 00:00:00|E3124|Desperate||Amanda Green|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/desperate-234437/recap|http://www.tv.com|"A resident at a Hell's Kitchen apartment building calls the fire department after smelling smoke in another unit. Firefighters break down the door and find food burning on the stove, a frightened six-year-old boy named Mikey, and his badly injured mother. The mother had also been raped and sodomized. Barely alive when the fire department arrived, she dies at the hospital during surgery.   The mother's purse and all other identifying information were taken by her attacker. A urine stain on the hallway carpet outside the bedroom suggests that Mikey witnessed the assault, and was so terrified by what he saw that he wet his pants.The apartment landlord identifies the mother as Dana McGuire. She had moved in a month ago, paying  cash up front for three months. Her driver's license had listed an upscale Central Park address.Dana McGuire is alive and well at the address on the license. Her purse had been stolen in a mugging some time before. The mugger, who's serving six months at Rikers, met ""Dana"" in a diner and gave her the license after she told him she couldn't find work because she had no ID. He knew her as Jill, and her son as Tommy. Warner determines that Jill probably hadn't been able to have children, and that Tommy definitely isn't her biological child. Tommy likes to draw, and he draws pictures of Jill's murder and of himself holding hands with Olivia. Olivia tries to draw him out about what happened to Jill. He reaches for her cell phone, and she gives it to him. He dials 911. Olivia asks Tommy if he knows his home number, and he tosses the phone down on the table. When she asks if he knows any other numbers, such as those one might call in an emergency, he dials the Domestic Violence Hotline.A compassionate hotline worker identifies Jill as Jill Hoffman, and expresses her disgust that Jill's husband ""finally did it."" Dan Hoffman is a violent, abusive monster who completely isolated Jill from the world. After three weeks at a safe house, Jill returned home long enough to get Tommy. But then the domestic violence workers couldn't shelter her, because as Tommy's stepmother she had no legal right to take the boy from his father. They did find her a pro bono attorney to help her fight for legal custody.The attorney tells Elliot and Olivia that Dan started abusing Jill shortly after their wedding two years ago.  Kim, Dan's first wife and Tommy's biological mother, had left a year before that; Dan probably abused her too. Dan had psychologically terrorized his son, but hadn't laid a hand on him -- yet. Jill had known that Dan's crossing that line was only a matter of time  She'd never made a domestic violence complaint because her husband is Mr. Pillar-of-the-Community in their exclusive small town of Rye. Who would believe he's a batterer?Tommy tells Olivia that he and Jill had run away from his father. Jill was going to find them a new home, someplace far away where his father wouldn't find them. Just as Tommy is going to talk about Jill's murder, Dan Hoffman storms in. Tommy is clearly terrified, but he's been medically cleared and released to the custody of his father.Dan's alibi for the night of Jill's murder is being at a business association dinner dance. The event was held at a place only five minutes from Jill's apartment. Several attendees confirm that Dan was there. They also remember that he disappeared for about 45 minutes during the evening, then reappeared.Alex Cabot tries, unsuccessfully, to get court permission for George Huang to interview Tommy. To prove he's not the monster the police think he is, Dan submits to a police interview. He plays the loving father and grieving widower only too well for Elliot and Olivia's taste, having the right answer for every question they ask. When Olivia tells him she doesn't buy his act, his good-guy mask slips just a bit as he replies, ""You wouldn't dare talk to me that way if you didn't have that badge and gun.""Munch finds a new checking account in the name of Dana McGuire, but it's actually Jill's. She had deposited some paychecks from Benny's Topless into the account. Another Benny's entertainer tells Elliot and Olivia that although Jill was a lousy dancer, she was hired because she looked like ""Susie Homemaker."" Many of  Benny's customers are commuters who stop in before heading home to the suburbs. Jill quit in a panic the previous week, after seeing someone from her former hometown in the crowd one night.  The credit card receipts from that night lead to a Mr. Rizzo, from Rye. To keep his wife from finding out he's not working heavy overtime, he gladly reveals that he told Dan Hoffman about the Benny's stripper who looked exactly like Jill. Rizzo figured it was a great laugh.Elliot and Olivia talk to Alex Cabot, pointing out that once Dan knew where Jill worked, all he had to do was follow her home. Their circumstantial information is enough for an arrest, but Dan's a very handsome, successful, charismatic man, fully capable of charming a grand jury into not indicting him. Therefore Alex obtains a ""silent indictment"", which gets Dan indicted and arrested for Jill's murder, without giving him an opportunity to testify before the grand jury. The case against Dan takes a major bad turn when the judge won't allow the domestic violence workers to testify that Jill told hem she was being abused. Tommy's testimony would convict his father, but SVU is still barred from talking to the boy. Alex asks about Kim Hoffman, who as Tommy's biological mother has every right to talk to him. Elliot replies that SVU hasn't been able to find her. Captain Cragen tells the detectives to find someone who'd known Kim.Allen Wheaten, the Hoffmans' longtime neighbor, knew Kim was being physically abused because he'd seen the injuries. He believes Dan murdered Kim, because late one night he saw a van pull into the Hoffmans' driveway. Someone filled the van with garbage bags and drove off. The next day, Kim was gone. Wheaten contacted the Rye police with the van's license plate number and his suspicion that Kim was murdered. The van belonged to a Dawn Trent, a soccer mom from Port Chester who said she'd been delivering Girl Scout cookies. Case closed.Dawn Trent tells Elliot that she had helped Kim escape that night from her abusive situation. Kim didn't take Tommy with her then because Dan was on the verge of killing her; she had to leave fast. She hoped to return for her son once she was settled elsewhere. Dawn belongs to a group which rescues domestic violence victims and passes them from one person to another, eventually resettling them far away from their abusers. All any rescuer knows is the next link in the chain.  Elliot follows the chain of Kim's rescuers, locates Kim and tells her everything that's happened. She tearfully tells him she had gone back for Tommy, only to see him happily playing on the front lawn with Jill and calling her ""Mommy."" Kim then thought he was better off there, because what did she have to offer him. Elliot persuades her to come back for Tommy's sake. If she doesn't, Dan will be acquitted of Jill's murder; and Tommy will be returned to his father.At the courthouse where Dan's trial is in progress, Kim talks to Tommy in the hallway. The bond between mother and son is reestablished. When Tommy is called to testify, he and his mother walk into the courtroom together. On the witness stand Tommy is too terrified of his father to speak, and the judge allows him to step down without testifying. As Alex leads Tommy past the defense table to leave, Dan flashes him a big smile and says, ""I love you, son."" Tommy looks at his mother sitting nearby, then quietly says to his father, ""You killed Jill."" Dan's lawyer immediately asks for a mistrial, as the judge calls for order in the court among the murmuring observers. Dan's good-guy mask slips off as he coldly says, ""Tommy, you listen to me. Don't do this."" Tommy turns to Alex and says, ""I'm ready. I can do this now.""Dan Hoffman can only watch in silent, seething rage as Tommy returns to the witness stand. As Tommy sits down, he glares at his father with a steely, righteous defiance that not even Dan's most violent abusive fury will shake."
Alex Zakrzewski|19|85|2003-03-28 00:00:00|E3110|Appearances||Teleplay: Stephen Belber Story: Liz Friedman, Vanessa Place, & Stephen Belber|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/appearances-236685/recap|http://www.tv.com|
Steve Shill|20|86|2003-04-04 00:00:00|E3123|Dominance|15800000.0|Jonathan Greene & Robert F. Campbell|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/dominance-238006/recap|http://www.tv.com|
Juan J. Campanella|21|87|2003-04-18 00:00:00|E3117|Fallacy|14800000.0|Teleplay: Barbie Kligman Story: Joshua Kotcheff & Barbie Kligman|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/fallacy-239182/recap|http://www.tv.com|
Alex Zakrzewski|22|88|2003-04-25 00:00:00|E3125|Futility|13500000.0|Michele Fazekas & Tara Butters|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/futility-239183/recap|http://www.tv.com|Michael Gardner, a well-heeled yuppie, is arrested outside his apartment on rape charges. He claims he didn't do anything but they have his fingerprints at the scene of the rape of Carrie Huitt. Gardner is also being linked to three other separate rapes, and continues to claim his innocence. He has a good attorney, Erin Russ. Carrie picks Gardner out of a line up, while Bethany Taylor her rape crisis counselor stands by her side. Gardner is out on bail and he continues to stalk two of his victims. Benson and Stabler catch him stalking Karen Leighton and arrest him again. This time, he decides to go pro se. Gardner argues the rape crisis counselor coached Carrie into picking the right person and he also successfully argues to sever all the cases. With no real evidence on three of the four cases, he is now down to one. But he doesn't show up for court one day and Cabot is concerned he left town. Stabler receives a phone call alerting him Gardner has struck again, this time killing his victim. Benson realizes he's getting smarter, because now there's nobody to I.D. him. After going through his financial files, the detectives realize he cashed a huge check in the Bronx while on the lam. Security cameras show him getting into Russ' vehicle and kissing her. It turns out he's been having an affair with her. They go to her apartment, and find her with blood on her hands. She's driven a knife through Gardner and he's dead. Russ claims she thought he was innocent all along but now she knows he isn't. Carrie finally gets closure when she sees Gardner's lifeless body on the slab in the morgue.
Constantine Makris|23|89|2003-05-02 00:00:00|E3116|Grief|14000000.0|Adisa Iwa|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/grief-245681/recap|http://www.tv.com|
Rick Wallace|24|90|2003-05-09 00:00:00|E3126|Perfect|12900000.0|Jonathan Greene & Robert F. Campbell|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/perfect-246326/recap|http://www.tv.com|
Chad Lowe|25|91|2003-05-16 00:00:00|E3127|Soulless|13700000.0|Lisa Marie Petersen & Dawn DeNoon|4|svu|http://www.tv.com/shows/law-order-special-victims-unit/soulless-246327/recap|http://www.tv.com|
David Platt|1|92|2003-09-23 00:00:00|E4403|Tragedy|13230000.0|Amanda Green|5|svu|http://www.tv.com/shows/law-order-special-victims-unit/tragedy-272296/recap|http://www.tv.com|
Guy Norman Bee|2|93|2003-09-30 00:00:00|E4401|Manic|11500000.0|Patrick Harbinson|5|svu|http://www.tv.com/shows/law-order-special-victims-unit/manic-275520/recap|http://www.tv.com|
Ted Kotcheff|3|94|2003-10-07 00:00:00|E4404|Mother|9900000.0|Lisa Marie Petersen & Dawn DeNoon|5|svu|http://www.tv.com/shows/law-order-special-victims-unit/mother-275701/recap|http://www.tv.com|
Constantine Makris|4|95|2003-10-14 00:00:00|E4402|Loss|12650000.0|Michele Fazekas & Tara Butters|5|svu|http://www.tv.com/shows/law-order-special-victims-unit/loss-277416/recap|http://www.tv.com|
Constantine Makris|5|96|2003-10-21 00:00:00|E4408|Serendipity|11800000.0|Lisa Marie Petersen & Dawn DeNoon|5|svu|http://www.tv.com/shows/law-order-special-victims-unit/serendipity-278851/recap|http://www.tv.com|"While conducting routine tests, inspectors from the Centers for Disease Control find the body of a dead newborn girl in the sewer. The umbilical cord was tied off with dental floss, suggesting a home birth. Freshly laid maggots indicate the body had been dumped no more than three hours before.Elliot and Olivia canvass the immediate neighborhood and locate expectant mother Brianna Morris. Her landlord tells them that even when Morris' condition clearly showed, she still denied being pregnant. They find her dead in her bedroom, delivered of her child. Someone else dumped the baby.A neighbor heard someone knock at Morris' door early that morning, then nothing. Prescription prenatal vitamins lead to obstetrician/gynecologist Dr. Curtis. He tells Elliot and Olivia that while Morris had been eight months along, she had been his patient for only the past three. Although Morris underwent every medical test in the book, she had been very emotionally detached from her pregnancy.  A man named Ron Wolcott paid the doctor's bills, except for the latest one on which the credit card was declined.Ron Wolcott and his wife Kelly were to have adopted Morris' baby, after trying unsuccessfully for ten years to have a child of their own. Ron, who works at a food flavoring institute, says his credit card was declined because it was maxed out. The adoption was privately arranged by Marcy Cochran, the wife of one of Ron's colleagues. She does volunteer work, and Morris had called her hotline.Cochran says that Morris had been considering suicide after finding out she was pregnant. Her own life was a wreck, and she feared that her child's would be no better. The father was ""the man of her dreams"", until she discovered the phone number he gave her was fake. Cochran had taken a special interest in Morris, talking with her on the phone every night. During their last call four days ago, they had a fight. Cochran had told her husband, in confidence, that Morris had changed her mind about giving up her baby.  Mr. Cochran then told Ron Wolcott.Warner determines that the baby bled to death through her umbilical cord. The cord wasn't tied off until after she had lost over half her blood.  Morris had been injected with drugs to paralyze her first, then to induce labor. After the birth, she was suffocated to death.Elliot and Olivia confront Wolcott, a chemist, at his workplace. He admits he stopped paying Morris' medical bills, to convince her to go through with the adoption. SVU obtains a search warrant for the Wolcotts' home, where Kelly Wolcott says her husband hadn't told her that Morris had changed her mind. A small case of pharmaceuticals is found in the kitchen. As the search continues, new SVU prosecutor Casey Novak arrives. A former white-collar prosecutor, Novak is accustomed to being very hands-on with her cases and visiting crime scenes herself.Novak's visit to Morris' apartment turns up library books on child care, and another title ""Skin Diseases of the Elderly."" Library staff remembers Morris, who had been interested in a dermatologist named Archibald Newlands and how to file a paternity suit.Dr. Newlands tells Elliot and Olivia that Morris, whom he'd never seen before, came to his office a week ago and made a huge scene. Apparently he bore a strong resemblance to an ex-boyfriend. His wife, also a dermatologist and his business partner, vouches for his alibi the day of Morris' death. He volunteers to take a paternity test.Ron Wolcott's alibi for the day of Morris' murder is verified. The pharmaceuticals found in his home were from a sales representative, and none of them could make the drugs used on Morris. The paternity test reveals that Newlands isn't the father of Morris' baby. However, the test has cleared a cold case.Newlands is brought in for raping young Molly Stratton some five years before. He denies being a pedophile. Novak clashes with Elliot and Olivia over their interrogation of Newlands, because the statute of limitations on the crime expired three months ago. In hopes of locating other victims, the detectives talk to the now 11-year-old Stratton. She remembers that her rapist had used honey during his attack.SVU finds another, recent young victim of a rapist who used honey. Against Cragen's advice, Novak insists on bringing in Newlands for a lineup. Novak then learns firsthand just how ugly and emotionally draining sex crimes can be. Olivia reassures her that everyone thinks at first that they can't handle it.Novak visits Mrs. Newlands, who stands by her husband until told that his DNA was found in the earlier victim. Archibald Newlands fails to appear at his trial, and his attorney is at a loss to explain his client's absence. Newlands is later found at his home, shot in the back of the head.Cragen wonders if the wronged Mrs. Newlands killed her husband, when he receives word that six-year-old Courtney Jones went missing from a public park early that morning.  Although his home is near the crime scene, Archibald Newlands was killed at about the same time Jones disappeared. A honey stirrer is found in a nearby trash can. While performing the autopsy on Newlands' body, Warner finds a plastic tube of blood in his upper arm. He was the father of Morris' baby, but he wasn't the Honey Rapist. He put the tube with someone else's blood in his arm to beat the paternity test. Unfortunately for him, that someone else was a previously unidentified child rapist.The real Honey Rapist must be one of Newlands' patients, who now feels footloose and fancy-free. To keep everyone thinking the Rapist is dead, he'll have to kill Courtney Jones. Mrs. Newlands checks their patient lists, and finds that they drew blood from only one male patient during the timeframe in question.SVU raids the home of Peter Nestler. He isn't there, but they find jars of honey and stacks of child pornography. Novak arrives with a search warrant, and to see if she's really cut out to handle sex crimes. She sees fishing gear in a closet and realizes that Nestler is a saltwater fisherman. Olivia finds a framed newspaper photo of Nestler posing on his boat, the Honey Do, at City Island Marina.The three of them go to the marina and spot Nestler headed for his boat slip, wheeling a large portable cooler. When Elliot and Olivia give chase, he drops the cooler and runs. Elliot catches up with Nestler and knocks him into the water, while Olivia continues on to search the boat. Back down the pier, Novak checks the cooler and finds Courtney Jones inside, unconscious but alive.Later, Novak asks Arthur Branch to take her off Special Victims. Although she slam-dunked her first case, she's still an emotional train wreck from Courtney Jones' ordeal. Branch says that he'd had his eye on Novak for SVU prosecutor when she was still in the white-collar crime division. The Jones case proved that he made the right choice for the job; and while Novak may not want it now, eventually she will."
Jean de Segonzac|6|97|2003-10-28 00:00:00|E4409|Coerced|12100000.0|Jonathan Greene|5|svu|http://www.tv.com/shows/law-order-special-victims-unit/coerced-278996/recap|http://www.tv.com|
David Platt|7|98|2003-11-04 00:00:00|E4411|Choice|13200000.0|Patrick Harbinson|5|svu|http://www.tv.com/shows/law-order-special-victims-unit/choice-281558/recap|http://www.tv.com|
Alex Zakrzewski|8|99|2003-11-11 00:00:00|E4410|Abomination|12990000.0|Michele Fazekas & Tara Butters|5|svu|http://www.tv.com/shows/law-order-special-victims-unit/abomination-281559/recap|http://www.tv.com|
Ted Kotcheff|9|100|2003-11-18 00:00:00|E4413|Control|13940000.0|Teleplay: Neal Baer Story: Dick Wolf|5|svu|http://www.tv.com/shows/law-order-special-victims-unit/control-281560/recap|http://www.tv.com|
